Jugador                      ,País    ,Posc    ,Equipo      ,Edad    ,Nacimiento ,PJ ,Titular ,Mín    ,90 s ,Gls. ,Gls. ,Ass ,TP ,TA ,TR
Alfonso Blanco Antúnez       ,mx MEX  ,PO      ,León        ,37-117  ,1987       ,17 ,     17 ,1530.0 ,17.0 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
Domingo Blanco               ,ar ARG  ,"DL,CC" ,Tijuana     ,29-217  ,1995       ,14 ,     10 , 887.0 , 9.9 , 3.0 ,0.30 ,0.0 , 0 , 2 , 0
Franck Boli                  ,ci CIV  ,DL      ,Atlético    ,30-354  ,1993       ,14 ,      9 , 813.0 , 9.0 , 4.0 ,0.44 ,0.0 , 1 , 1 , 0
Léo Bonatini                 ,br BRA  ,DL      ,Atlético    ,30-242  ,1994       ,11 ,      5 , 462.0 , 5.1 , 2.0 ,0.39 ,0.0 , 1 , 0 , 0
Cristian Borja               ,co COL  ,DF      ,América     ,31-281  ,1993       ,12 ,      8 , 721.0 , 8.0 , 0.0 ,0.00 ,1.0 , 0 , 0 , 0
Antonio Briseño              ,mx MEX  ,DF      ,Guadalajara ,30-294  ,1994       , 7 ,      6 , 541.0 , 6.0 , 0.0 ,0.00 ,1.0 , 0 , 2 , 0
Isaác Brizuela               ,mx MEX  ,"CC,DL" ,Guadalajara ,34-089  ,1990       , 3 ,      0 ,  48.0 , 0.5 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Juan Brunetta                ,ar ARG  ,CC      ,UANL        ,27-197  ,1997       ,15 ,     10 , 809.0 , 9.0 , 4.0 ,0.44 ,2.0 , 0 , 1 , 1
Gustavo Cabral               ,ar ARG  ,DF      ,Pachuca     ,39-042  ,1985       ,11 ,     11 , 894.0 , 9.9 , 0.0 ,0.00 ,0.0 , 0 , 3 , 1
Luciano Cabral               ,cl CHI  ,"DL,CC" ,León        ,29-213  ,1995       ,15 ,     13 ,1071.0 ,11.9 , 1.0 ,0.08 ,3.0 , 0 , 3 , 1
Sebastián Cáceres            ,uy URU  ,DF      ,América     ,25-099  ,1999       , 3 ,      3 , 142.0 , 1.6 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jhonder Cádiz                ,ve VEN  ,DL      ,León        ,29-119  ,1995       ,15 ,     11 ,1021.0 ,11.3 , 5.0 ,0.44 ,1.0 , 1 , 4 , 0
José Caicedo                 ,co COL  ,CC      ,UNAM        ,22-186  ,2002       ,17 ,     17 ,1364.0 ,15.2 , 1.0 ,0.07 ,1.0 , 0 , 4 , 0
Cristian Calderón            ,mx MEX  ,DF      ,América     ,27-185  ,1997       ,14 ,     10 , 874.0 , 9.7 , 0.0 ,0.00 ,0.0 , 0 , 3 , 0
Francisco Calvo              ,cr CRC  ,DF      ,FC Juárez   ,32-140  ,1992       , 3 ,      3 , 270.0 , 3.0 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Raúl Camacho                 ,mx MEX  ,"DL,DF" ,Mazatlán    ,22-251  ,2002       , 9 ,      4 , 307.0 , 3.4 , 2.0 ,0.59 ,0.0 , 0 , 2 , 0
