Jugador                      ,País    ,Posc    ,Equipo      ,Edad    ,Nacimiento ,PJ ,Titular ,Mín    ,90 s ,Gls. ,Gls. ,Ass ,TP ,TA ,TR
Ángel Sepúlveda              ,mx MEX  ,DL      ,Cruz Azul   ,33-284  ,1991       ,17 ,      8 , 840.0 , 9.3 , 9.0 ,0.96 ,0.0 , 0 , 2 , 0
Gilberto Sepúlveda           ,mx MEX  ,DF      ,Guadalajara ,25-295  ,1999       , 8 ,      8 , 698.0 , 7.8 , 1.0 ,0.13 ,0.0 , 0 , 2 , 0
Leonardo Sepulveda           ,us USA  ,"DL,DF" ,Guadalajara ,23-160  ,2001       , 3 ,      0 ,  21.0 , 0.2 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jesús Serrato                ,mx MEX  ,CC      ,Atlas       ,18-340  ,2005       , 2 ,      2 , 143.0 , 1.6 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jordan Sierra                ,ec ECU  ,CC      ,Mazatlán    ,27-216  ,1997       ,16 ,     11 , 971.0 ,10.8 , 0.0 ,0.00 ,1.0 , 0 , 0 , 0
Nathan Silva                 ,br BRA  ,DF      ,UNAM        ,27-203  ,1997       ,16 ,     16 ,1440.0 ,16.0 , 0.0 ,0.00 ,0.0 , 0 , 4 , 0
Carlo Soldati                ,mx MEX  ,DF      ,Querétaro   ,19-142  ,2005       , 1 ,      0 ,  13.0 , 0.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Ramiro Sordo                 ,ar ARG  ,"DL,CC" ,Santos      ,24-149  ,2000       ,14 ,     13 ,1056.0 ,11.7 , 1.0 ,0.09 ,3.0 , 0 , 3 , 0
Samuel Sosa                  ,ve VEN  ,DL      ,Querétaro   ,24-344  ,1999       ,13 ,      7 , 638.0 , 7.1 , 1.0 ,0.14 ,1.0 , 0 , 4 , 0
Leonardo Suárez              ,ar ARG  ,"CC,DL" ,UNAM        ,28-240  ,1996       , 4 ,      4 , 250.0 , 2.8 , 0.0 ,0.00 ,1.0 , 0 , 0 , 0
Fernando Tapia               ,mx MEX  ,PO      ,UANL        ,23-161  ,2001       , 3 ,      3 , 270.0 , 3.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Juan Tejeda                  ,mx MEX  ,DF      ,Santos      ,20-256  ,2004       , 1 ,      0 ,   1.0 , 0.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Eduardo Tercero              ,mx MEX  ,DF      ,UANL        ,28-203  ,1996       , 1 ,      0 ,  39.0 , 0.4 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Iván Tona                    ,mx MEX  ,CC      ,Tijuana     ,24-238  ,2000       ,13 ,     11 , 949.0 ,10.5 , 0.0 ,0.00 ,1.0 , 0 , 3 , 0
Alan Torres                  ,mx MEX  ,CC      ,Mazatlán    ,24-280  ,2000       , 9 ,      8 , 641.0 , 7.1 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Jairo Torres                 ,mx MEX  ,"DL,CC" ,FC Juárez   ,24-143  ,2000       ,17 ,     16 ,1407.0 ,15.6 , 2.0 ,0.13 ,2.0 , 0 , 3 , 0
Óliver Torres                ,es ESP  ,"CC,DL" ,Monterrey   ,30-015  ,1994       ,13 ,     12 , 874.0 , 9.7 , 0.0 ,0.00 ,1.0 , 0 , 1 , 0
Román Torres                 ,mx MEX  ,"DF,DL" ,Necaxa      ,19-339  ,2004       , 1 ,      0 ,   6.0 , 0.1 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Santiago Trigos              ,mx MEX  ,CC      ,UNAM        ,22-308  ,2002       , 9 ,      0 , 160.0 , 1.8 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Ezequiel Unsain              ,ar ARG  ,PO      ,Necaxa      ,29-261  ,1995       ,17 ,     17 ,1530.0 ,17.0 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Héctor Uribe                 ,mx MEX  ,DL      ,León        ,20-174  ,2004       , 4 ,      0 ,  44.0 , 0.5 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Diego Valdés                 ,cl CHI  ,"CC,DL" ,América     ,30-300  ,1994       ,11 ,      7 , 576.0 , 6.4 , 0.0 ,0.00 ,2.0 , 0 , 0 , 0
Christian Valdivia           ,mx MEX  ,DF      ,Cruz Azul   ,19-066  ,2005       , 1 ,      0 ,  19.0 , 0.2 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Diego Valoyes                ,co COL  ,"DL,CC" ,FC Juárez   ,28-064  ,1996       , 9 ,      7 , 578.0 , 6.4 , 1.0 ,0.16 ,1.0 , 0 , 1 , 0
Camilo Vargas                ,co COL  ,PO      ,Atlas       ,35-261  ,1989       ,14 ,     14 ,1260.0 ,14.0 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
William Vargas               ,ec ECU  ,DF      ,Mazatlán    ,27-166  ,1997       , 4 ,      1 , 163.0 , 1.8 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Brandon Vazquez              ,us USA  ,"DL,CC" ,Monterrey   ,26-042  ,1998       ,16 ,      6 , 554.0 , 6.2 , 3.0 ,0.49 ,1.0 , 1 , 0 , 0
Brayton Vázquez              ,mx MEX  ,DF      ,Querétaro   ,26-204  ,1998       , 4 ,      4 , 293.0 , 3.3 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Miguel Vázquez               ,mx MEX  ,DF      ,América     ,20-292  ,2004       , 7 ,      5 , 477.0 , 5.3 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Alexis Vega                  ,mx MEX  ,"DL,CC" ,Toluca      ,27-000  ,1997       ,17 ,     14 ,1166.0 ,13.0 , 3.0 ,0.23 ,3.0 , 1 , 2 , 0
Jesús Vega                   ,mx MEX  ,"DL,CC" ,Tijuana     ,24-252  ,2000       , 5 ,      2 , 204.0 , 2.3 , 0.0 ,0.00 ,3.0 , 0 , 0 , 0
Sebastián Vegas              ,cl CHI  ,DF      ,Monterrey   ,27-357  ,1996       ,10 ,      7 , 629.0 , 7.0 , 0.0 ,0.00 ,1.0 , 0 , 2 , 1
Kevin Velasco                ,co COL  ,CC      ,Puebla      ,27-209  ,1997       , 6 ,      3 , 221.0 , 2.5 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Jesús Venegas                ,mx MEX  ,"CC,DL" ,FC Juárez   ,29-240  ,1995       ,10 ,      4 , 374.0 , 4.2 , 1.0 ,0.24 ,1.0 , 0 , 1 , 0
Jonatan Villal               ,us USA  ,"CC,DL" ,Atlético    ,19-324  ,2005       , 2 ,      0 ,   3.0 , 0.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Fran Villalba                ,es ESP  ,"DL,CC" ,Santos      ,26-198  ,1998       ,12 ,      7 , 535.0 , 5.9 , 1.0 ,0.17 ,0.0 , 0 , 0 , 0
Dieter Villalpando           ,mx MEX  ,"CC,DL" ,FC Juárez   ,33-113  ,1991       ,17 ,     13 ,1121.0 ,12.5 , 0.0 ,0.00 ,0.0 , 0 , 3 , 0
Isaías Violante              ,mx MEX  ,"DL,CC" ,Toluca      ,21-036  ,2003       ,13 ,     10 , 793.0 , 8.8 , 4.0 ,0.45 ,3.0 , 0 , 3 , 0
Vitinho                      ,br BRA  ,"DL,CC" ,Atlético    ,23-216  ,2001       , 7 ,      3 , 309.0 , 3.4 , 1.0 ,0.29 ,0.0 , 0 , 1 , 0
Tiago Volpi                  ,br BRA  ,PO      ,Toluca      ,33-342  ,1990       ,17 ,     17 ,1530.0 ,17.0 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Facundo Waller               ,uy URU  ,CC      ,Puebla      ,27-230  ,1997       ,12 ,      6 , 622.0 , 6.9 , 0.0 ,0.00 ,1.0 , 0 , 2 , 0
Teun Wilke                   ,mx MEX  ,DL      ,Guadalajara ,22-256  ,2002       , 2 ,      1 , 122.0 , 1.4 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Édgar Yoel Bárcenas          ,pa PAN  ,"CC,DL" ,Mazatlán    ,31-033  ,1993       ,16 ,     15 ,1338.0 ,14.9 , 0.0 ,0.00 ,2.0 , 0 , 2 , 0
Ángel Zaldívar               ,mx MEX  ,DL      ,FC Juárez   ,30-291  ,1994       ,11 ,      6 , 495.0 , 5.5 , 3.0 ,0.55 ,0.0 , 0 , 1 , 0
Edgar Zaldívar               ,mx MEX  ,DF      ,Atlas       ,28-039  ,1996       ,16 ,     13 ,1003.0 ,11.1 , 1.0 ,0.09 ,0.0 , 0 , 1 , 0
Alejandro Zendejas           ,us USA  ,"DL,CC" ,América     ,26-292  ,1998       ,12 ,     10 , 843.0 , 9.4 , 2.0 ,0.21 ,2.0 , 0 , 2 , 0
José Zúñiga                  ,co COL  ,"DL,CC" ,Tijuana     ,30-135  ,1994       ,14 ,      7 , 762.0 , 8.5 , 4.0 ,0.47 ,1.0 , 0 , 3 , 0
Uroš Đurđević                ,me MNE  ,"DL,CC" ,Atlas       ,30-268  ,1994       , 8 ,      1 , 198.0 , 2.2 , 0.0 ,0.00 ,0.0 , 0 , 2 , 0
