Player                       ,Country ,Position ,Team        ,Age  ,Matches_Played ,Minutes ,Goals                 ,Assists               ,Shots_on_Target ,Yellow_Cards          ,Red_Cards
Jordi Cortizo                ,mx MEX  ,"CC,DL"  ,Monterrey   ,28.0 ,          13.0 ,  583.0 ,0.003430531732418525  ,0.0017152658662092624 ,            0.0 ,0.003430531732418525  ,      0.0
Rodolfo Cota                 ,mx MEX  ,PO       ,América     ,37.0 ,           1.0 ,   90.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Cade Cowell                  ,us USA  ,"CC,DL"  ,Guadalajara ,21.0 ,          12.0 ,  831.0 ,0.0030084235860409147 ,0.0024067388688327317 ,            0.0 ,0.0                   ,      0.0
Aldo Cruz                    ,mx MEX  ,DF       ,Atlético    ,27.0 ,          14.0 , 1147.0 ,0.0                   ,0.0                   ,            0.0 ,0.0008718395815170009 ,      0.0
Jürgen Damm                  ,mx MEX  ,DF       ,Atlético    ,32.0 ,           1.0 ,   25.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
José David Ramírez           ,mx MEX  ,CC       ,León        ,28.0 ,          11.0 ,  607.0 ,0.0                   ,0.0016474464579901153 ,            0.0 ,0.0016474464579901153 ,      0.0
Víctor Dávila                ,cl CHI  ,"DL,CC"  ,América     ,27.0 ,           6.0 ,  250.0 ,0.004                 ,0.0                   ,            0.0 ,0.0                   ,      0.0
Diego De Buen                ,mx MEX  ,CC       ,Puebla      ,33.0 ,          17.0 , 1427.0 ,0.000700770847932726  ,0.0                   ,            0.0 ,0.001401541695865452  ,      0.0
Sergio De los Ríos           ,mx MEX  ,"CC,DF"  ,Pachuca     ,21.0 ,           5.0 ,  108.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Gustavo Del Prete            ,ar ARG  ,"CC,DL"  ,Mazatlán    ,28.0 ,           3.0 ,  230.0 ,0.004347826086956522  ,0.0                   ,            0.0 ,0.004347826086956522  ,      0.0
Everardo Del Villar          ,mx MEX  ,DF       ,Toluca      ,19.0 ,           3.0 ,  213.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Arturo Delgado               ,mx MEX  ,PO       ,FC Juárez   ,22.0 ,           2.0 ,  180.0 ,0.0                   ,0.0                   ,            0.0 ,0.0                   ,      0.0
Nelson Deossa                ,co COL  ,CC       ,Pachuca     ,24.0 ,          16.0 , 1212.0 ,0.0016501650165016502 ,0.0016501650165016502 ,            0.0 ,0.004125412541254125  ,      0.0
Benny Díaz                   ,mx MEX  ,PO       ,FC Juárez   ,25.0 ,          11.0 ,  990.0 ,0.0                   ,0.0                   ,            0.0 ,0.0030303030303030303 ,      0.0
