Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Expectativa,Expectativa,Expectativa,Expectativa,Progresión,Progresión,Progresión,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Unnamed: 36_level_0
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
55,Claudio Baeza,cl CHI,"CC,DF",Toluca,30-341,1993,16,12,1016,11.3,0,1,1,0,0,0,4,0,0.2,0.2,0.8,1.1,7,56,8,0.00,0.09,0.09,0.00,0.09,0.02,0.07,0.09,0.02,0.09,Partidos
56,Kevin Balanta,co COL,DF,Tijuana,27-214,1997,9,7,591,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,6,17,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02,Partidos
57,Fidel Barajas,mx MEX,"CC,DL",Guadalajara,18-237,2006,5,0,87,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,1,23,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.14,0.12,0.14,Partidos
58,Víctor Barajas,mx MEX,DF,León,21-260,2003,1,0,2,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,2,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
59,Diego Barbosa,mx MEX,DF,Tijuana,28-064,1996,6,3,239,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,6,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
60,Jaine Barreiro,co COL,DF,León,30-162,1994,17,17,1507,16.7,1,0,1,1,0,0,3,0,0.8,0.8,0.1,0.9,13,56,4,0.06,0.00,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06,Partidos
61,Pablo Barrera,mx MEX,"CC,DL",Querétaro,37-160,1987,17,15,1287,14.3,1,0,1,1,0,0,1,0,0.9,0.9,1.0,1.9,27,39,84,0.07,0.00,0.07,0.07,0.07,0.06,0.07,0.13,0.06,0.13,Partidos
62,Sergio Barreto,ar ARG,DF,Pachuca,25-222,1999,15,15,1307,14.5,0,1,1,0,0,0,5,1,0.4,0.4,0.5,0.9,3,26,0,0.00,0.07,0.07,0.00,0.07,0.03,0.03,0.06,0.03,0.06,Partidos
63,Abraham Bass,mx MEX,CC,Atlas,23-111,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
64,Borja Bastón,es ESP,DL,Pachuca,32-095,1992,7,5,352,3.9,0,0,0,0,0,1,0,0,1.6,0.8,0.1,0.9,1,5,10,0.00,0.00,0.00,0.00,0.00,0.40,0.03,0.43,0.20,0.23,Partidos
65,Alán Bautista,mx MEX,"CC,DL",Pachuca,22-022,2002,10,5,401,4.5,1,0,1,1,0,0,0,0,0.4,0.4,1.0,1.4,8,20,31,0.22,0.00,0.22,0.22,0.22,0.08,0.23,0.31,0.08,0.31,Partidos
